source,error,item
ne_10m_urban_areas_landscan.geojson,"no match","-12.748682795715 34.200672042955 Nkhotakota"
ne_10m_urban_areas_landscan.geojson,"no match","3.5202777777556 16.053611111064 Nola"
ne_10m_urban_areas_landscan.geojson,"no match","44.424283154087 125.12961469526 Nongan"
ne_10m_urban_areas_landscan.geojson,"no match","42.035208333303 -97.422083333354 Norfolk"
ne_10m_urban_areas_landscan.geojson,"no match","46.324499999973 -79.442166666687 North Bay"
ne_10m_urban_areas_landscan.geojson,"no match","18.092569444421 -15.960138888924 Nouakchott"
ne_10m_urban_areas_landscan.geojson,"no match","-19.99909420292 -43.855615942061 Nova Lima"
ne_10m_urban_areas_landscan.geojson,"no match","52.539166666635 31.932976190424 Novozybkov"
ne_10m_urban_areas_landscan.geojson,"no match","-2.3229598645659 29.729264683653 Nyanza"
ne_10m_urban_areas_landscan.geojson,"no match","-4.2232142857382 33.19464285708 Nzega"
ne_10m_urban_areas_landscan.geojson,"no match","17.087054183785 -96.751080246937 Oaxaca"
ne_10m_urban_areas_landscan.geojson,"no match","55.097348484818 36.605176767635 Obninsk"
ne_10m_urban_areas_landscan.geojson,"no match","8.2484195402067 -73.349281609222 Ocana"
ne_10m_urban_areas_landscan.geojson,"no match","33.22557550642 131.6459254143 Oita"
ne_10m_urban_areas_landscan.geojson,"no match","34.618482905956 133.85623931616 Okayama"
ne_10m_urban_areas_landscan.geojson,"no match","49.473055555527 57.422499999952 Oktyabrsk"
ne_10m_urban_areas_landscan.geojson,"no match","48.967708333306 89.961111111056 Olgiy"
ne_10m_urban_areas_landscan.geojson,"no match","-5.9888888889084 -79.752777777802 Olmos"
ne_10m_urban_areas_landscan.geojson,"no match","7.0956249999764 4.8571874999487 Ondo"
ne_10m_urban_areas_landscan.geojson,"no match","63.92327235769 38.087093495884 Onega"
ne_10m_urban_areas_landscan.geojson,"no match","-17.776388888903 15.767129629587 Ongwediva"
ne_10m_urban_areas_landscan.geojson,"no match","44.02599206346 -116.97599206351 Ontario"
ne_10m_urban_areas_landscan.geojson,"no match","53.212673611077 63.62786458328 Oostanay"
ne_10m_urban_areas_landscan.geojson,"no match","4.5763888888681 7.557870370328 Opobo"
ne_10m_urban_areas_landscan.geojson,"no match","51.217817460286 51.379087301536 Oral"
ne_10m_urban_areas_landscan.geojson,"no match","-33.279336734704 149.10756802714 Orange"
ne_10m_urban_areas_landscan.geojson,"no match","18.080952380927 -88.566071428593 Orange Walk"
ne_10m_urban_areas_landscan.geojson,"no match","52.966179653648 36.079383116837 Orel"
ne_10m_urban_areas_landscan.geojson,"no match","18.858578431346 -97.120413165288 Orizaba"
ne_10m_urban_areas_landscan.geojson,"no match","47.895254629598 1.9081307869957 Orleans"
ne_10m_urban_areas_landscan.geojson,"no match","51.216249999967 58.619861111052 Orsk"
